model,epoch,train_loss,epoch_seconds,validation_hr@10,validation_hr@5,validation_ndcg@10,validation_ndcg@5,validation_sampled_auc
gmf,1,0.6831734214429689,16.078041800000392,0.45329087048832273,0.2908704883227176,0.2434913628060669,0.1910992410309411,0.7961676210083855
gmf,2,0.6385451428131306,16.63110719999986,0.4469214437367304,0.2951167728237792,0.24355409028204658,0.19429291505821172,0.8111904608719894
gmf,3,0.5145036304625056,15.089366600000176,0.45329087048832273,0.29830148619957536,0.24812441617519868,0.19777870578541631,0.8181389264191812
gmf,4,0.3893782085021942,15.071939899999961,0.4554140127388535,0.3036093418259023,0.24547669768011296,0.19660332283500692,0.8174526582169893
gmf,5,0.3411233759790414,15.585348599999634,0.4543524416135881,0.30148619957537154,0.24354303978110756,0.1942079252207732,0.8178708529027
gmf,6,0.3247409584135989,14.609991400000581,0.4543524416135881,0.29936305732484075,0.24557277212041234,0.19527957894379194,0.8184820605202772
mlp,1,0.529222671806916,16.39497240000037,0.4692144373673036,0.2908704883227176,0.23898741565900936,0.18132547385666753,0.8154581912543696
mlp,2,0.32488159723926013,17.562107099999594,0.46178343949044587,0.3067940552016985,0.2484978906999149,0.19824102342239036,0.8204443586609191
mlp,3,0.31286312888373335,15.578046099999483,0.46496815286624205,0.3057324840764331,0.25084670121589475,0.1994364626715977,0.8215809903707992
mlp,4,0.307582515085903,16.13677430000007,0.46390658174097665,0.3078556263269639,0.2492466900035278,0.1985270324005836,0.8213772544982736
mlp,5,0.30563191932021166,16.079924099999516,0.4734607218683652,0.3365180467091295,0.26541455572340045,0.22067665086581298,0.8240472667224259
mlp,6,0.29959122301055047,16.815337899999577,0.5169851380042463,0.39065817409766457,0.3000966572791207,0.2594806854799817,0.8336979133157476
mlp,7,0.29211210149081657,17.603347600000234,0.5870488322717622,0.42144373673036095,0.3356041364148108,0.28205223572515153,0.8525273971133843
mlp,8,0.28150775487198165,16.857373099999677,0.6093418259023354,0.43630573248407645,0.34923728771586493,0.2931911150974056,0.8643976924231702
mlp,9,0.2736250862413188,17.077438299999812,0.6231422505307855,0.445859872611465,0.3522462771088902,0.2947585427932053,0.8695554268802677
mlp,10,0.2680018567080203,17.182062099999712,0.618895966029724,0.44798301486199577,0.36328459546672887,0.3078161459555742,0.8729009843659525
mlp,11,0.26586535946806394,17.326859400000103,0.638004246284501,0.45222929936305734,0.3690006046392295,0.30899210374562813,0.8758819618692231
mlp,12,0.26000840245336904,16.822599000000082,0.6454352441613588,0.4723991507430998,0.37058440874859205,0.3148559236385663,0.8776512470779987
mlp,13,0.2526165858465192,12.573446899999908,0.6464968152866242,0.4819532908704883,0.3738814676066869,0.3208166251180741,0.8809217439790687
mlp,14,0.24479072521428688,8.373713999999381,0.6507430997876857,0.4819532908704883,0.3781979497574159,0.32313023796867046,0.8854361019966116
mlp,15,0.2366638061598728,11.567283100000168,0.6687898089171974,0.4872611464968153,0.39092770072033206,0.33213113012946277,0.8898861223701988
mlp,16,0.2305172881256883,8.223937600000681,0.6772823779193206,0.5010615711252654,0.39865157808668816,0.34152372982449286,0.8925775804756697
mlp,17,0.22618319749942467,17.562375900000006,0.6857749469214437,0.5063694267515924,0.41197143312925155,0.35369711058625036,0.8938107186514829
mlp,18,0.22062539514741636,17.181962300000123,0.6889596602972399,0.5106157112526539,0.41320298840999004,0.3546911692192861,0.8949902421240001
mlp,19,0.21750888054219025,17.088335200000074,0.6847133757961783,0.5180467091295117,0.4125371090582671,0.35831439318623676,0.8938965021767569
mlp,20,0.2151033193785607,17.069721700000628,0.6868365180467091,0.505307855626327,0.41374437131199115,0.35404561711478744,0.8957837397327842
neumf,1,0.5266922043559729,19.404168299999583,0.470276008492569,0.29723991507430997,0.23695547864039812,0.1809016510449437,0.8170237405906196
neumf,2,0.33513948317487013,19.16062509999938,0.4734607218683652,0.31528662420382164,0.2641548848130644,0.21308033407656518,0.8220742456411245
neumf,3,0.31823637016654244,18.597127800000635,0.4713375796178344,0.3195329087048832,0.2609513075897036,0.21201248871670916,0.8254948637114242
neumf,4,0.30309005190993593,18.873130400000264,0.49150743099787686,0.3343949044585987,0.27411711847626274,0.22315901398171287,0.8326577880718008
neumf,5,0.29076427698037316,17.8444970999999,0.5509554140127388,0.3821656050955414,0.30794433978244873,0.25368779723400897,0.8457397756760814
neumf,6,0.27567538514236617,16.526974499999596,0.5753715498938429,0.42462845010615713,0.33138346712315675,0.28240690615815645,0.8573956121726823
neumf,7,0.26460255328128823,6.492026000000806,0.5976645435244161,0.4426751592356688,0.3442240330817189,0.2939685960092712,0.8660811941066718
neumf,8,0.2559318124222806,6.187977399999909,0.618895966029724,0.4564755838641189,0.3552868979421093,0.3032335213679583,0.8717429067747539
neumf,9,0.2485620598433804,6.23794800000087,0.6316348195329087,0.4564755838641189,0.3640026948591899,0.307398763174584,0.8770614853417401
neumf,10,0.24289487652754022,10.025713099999848,0.6401273885350318,0.46284501061571126,0.3690016014483251,0.31247553821482055,0.8800639087263292
neumf,11,0.24030378890839604,17.91679010000007,0.6475583864118896,0.4554140127388535,0.3736050376277314,0.31146698676492124,0.8834845267966287
neumf,12,0.23535734549326623,17.974976700000298,0.6507430997876857,0.46390658174097665,0.37915899948478937,0.31875400690378064,0.8853074267087004
neumf,13,0.2316880617125611,17.57991839999977,0.6602972399150743,0.4713375796178344,0.3821404329315063,0.3212009400549775,0.8884706942031784
neumf,14,0.22794193968563223,10.44913220000035,0.6645435244161358,0.4851380042462845,0.3889716763706599,0.3312267675143162,0.8912157670119453
neumf,15,0.22307523679531366,5.712842799999635,0.6666666666666666,0.4830148619957537,0.390009513479822,0.330784671255576,0.8933925239657723
neumf,16,0.21936861710298264,6.729959700000109,0.6740976645435244,0.49256900212314225,0.39811545731826414,0.3399369060186909,0.8952583156404813
neumf,17,0.21490847653020076,16.230112700000063,0.6772823779193206,0.49256900212314225,0.40445407588893195,0.3447868001945481,0.8970276008492569
neumf,18,0.21028443503133787,16.46390920000067,0.6889596602972399,0.5021231422505308,0.4086239283406094,0.34851051843195696,0.8980570031525446
neumf,19,0.2068720179850485,16.47965379999914,0.6836518046709129,0.505307855626327,0.4131426194524223,0.355359056429379,0.8993973707349503
neumf,20,0.20405465383471585,18.0458378000003,0.6868365180467091,0.4989384288747346,0.41319164329531355,0.3522021825915563,0.9008020759613115
